CustomerID,FirstName,LastName,Email,PhoneNumber,City,SignupDate,LastLoginDate
CUST_0001,Zinal,Borra,wbir@example.net,9063216505,Mumbai,2025-10-29,
CUST_0002,Amaira,Malhotra,hredhaansrinivasan@example.com,+919971656192,Chennai,2024-03-18,2025-07-31
CUST_0003,Pallavi,Lalla,duanilima@example.net,08255292930,Mumbai,2024-03-30,
CUST_0004,Naksh,Dhillon,schad@example.org,7081599977,Bangalore,2025-03-22,2025-10-14
CUST_0005,Ishani,Kalita,sgoda@example.net,7120551425,Chennai,2025-08-30,2025-07-16
CUST_0006,Yasti,Kothari,faqid83@example.com,08725012501,Chennai,2025-12-02,8/4/2025
CUST_0007,Damyanti,Soman,jhalak09@example.com,+919907278439,Ahmedabad,2024-10-12,2/18/2026
CUST_0008,Krisha,Date,chavvirau@example.org,+917428315534,Delhi,2024-02-20,
CUST_0009,Barkha,Badami,jonathan77@example.net,7936785494,Hyderabad,2025-09-17,2025-12-31
CUST_0010,Owen,Dasgupta,jaindivya@example.net,+914650169175,Pune,2024-04-29,2025-10-03
CUST_0011,Adya,Setty,fyogi@example.com,+914751695604,Kolkata,2024-12-02,
CUST_0012,Panini,Krishna,nagarbakhshi@example.org,06569470424,Pune,2024-04-08,10/1/2025
CUST_0013,Qadim,Saha,ayushmankhatri@example.com,05888017743,Ahmedabad,2026-03-23,
CUST_0014,Kevin,Iyengar,jeevikabaral@example.org,7542313693,Mumbai,2026-04-07,
CUST_0015,Arunima,Deep,dayalveda@example.org,+915180287333,Chennai,2026-04-12,2025-06-19
CUST_0016,Chatresh,Arya,davidsood@example.com,7659189022,Chennai,2024-04-26,7/15/2025
CUST_0017,Frado,Bhandari,amblevihaan@example.net,2154165978,Chennai,2023-11-07,
CUST_0018,Yatan,Borra,zarna74@example.com,+912271291074,Hyderabad,2023-09-16,
CUST_0019,Vrinda,Gour,iyerabhiram@example.org,+915409015502,Delhi,2024-03-28,
CUST_0020,Eesha,Mukhopadhyay,skrishnan@example.org,09374984191,Chennai,2024-08-10,7/25/2025
CUST_0021,Ranveer,Prashad,udarsh95@example.net,4743798268,Delhi,2025-02-10,2025-07-20
CUST_0022,Jagrati,Dasgupta,kwason@example.org,+916526224741,Ahmedabad,2026-01-03,
CUST_0023,Champak,Kota,balaybaghyawati@example.net,+912304501605,Chennai,2024-10-25,9/24/2025
CUST_0024,Onveer,Khanna,sanghvidiya@example.com,1800406831,Chennai,2025-05-22,
CUST_0025,Divya,Edwin,loyaldiya@example.com,2028920830,Kolkata,2025-05-12,4/22/2026
CUST_0026,Ethan,Nigam,bchandran@example.com,+911697832476,Chennai,2026-04-04,9/21/2025
CUST_0027,Daksh,Balan,kalpitkrishnamurthy@example.org,+910904298184,Ahmedabad,2024-04-07,
CUST_0028,Raghav,Ganesh,chandranjanani@example.org,+918577031103,Delhi,2023-12-10,12/29/2025
CUST_0029,Chameli,Rattan,aarnasanghvi@example.com,+915743855235,Chennai,2025-12-16,
CUST_0030,Yatan,Pai,psagar@example.org,+912761536570,Kolkata,2025-11-27,5/30/2025
CUST_0031,Azad,Bala,bhallawarda@example.net,08913669978,Delhi,2024-02-26,12/2/2025
CUST_0032,Meghana,Lala,nachiketkapur@example.net,4474153438,Bangalore,2023-12-28,2026-03-08
CUST_0033,Tanmayi,Krishnamurthy,upkaar66@example.net,08343110235,Delhi,2024-01-14,12/9/2025
CUST_0034,Hritik,Dey,deolharinakshi@example.net,03381759536,Kolkata,2024-07-16,
CUST_0035,Tanmayi,Sahni,saumyadara@example.org,5175922587,Hyderabad,2025-08-18,2025-09-21
CUST_0036,Dayamai,Ahuja,bsunder@example.net,8174098912,Hyderabad,2025-06-19,6/18/2025
CUST_0037,Nandini,Brahmbhatt,prisha48@example.net,05474667046,Hyderabad,2025-12-24,9/23/2025
CUST_0038,Faqid,Narang,avni46@example.com,08717665072,Ahmedabad,2026-03-05,
CUST_0039,Mason,Gola,dsinghal@example.net,9332560389,Delhi,2025-01-18,
CUST_0040,Odika,Seshadri,gunbirdutt@example.com,04505494732,Chennai,2024-05-12,
CUST_0041,Nisha,Sinha,ridhi04@example.com,07909127350,Delhi,2026-01-16,
CUST_0042,Nirja,Patel,igandhi@example.net,02513991080,Ahmedabad,2024-07-27,2025-12-31
CUST_0043,Suhani,Ghosh,wriddhishkaran@example.net,+916911554966,Pune,2024-12-19,3/12/2026
CUST_0044,Janani,Arora,ayushmandugar@example.org,1448884295,Bangalore,2025-01-30,2026-03-21
CUST_0045,Raghav,Bajwa,brijesh38@example.com,07219630241,Mumbai,2024-03-25,4/23/2026
CUST_0046,Abha,Sengupta,choudhryeesha@example.com,6259920427,Delhi,2026-05-08,
CUST_0047,David,Ramachandran,skanda@example.com,06115730068,Delhi,2024-04-01,
CUST_0048,Luke,Mander,vaishnavihora@example.org,+914544870192,Chennai,2023-07-27,
CUST_0049,Bishakha,Dutta,senudarsh@example.net,+919050995972,Kolkata,2024-03-23,
CUST_0050,Wahab,Hayre,sararay@example.com,01429204754,Ahmedabad,2026-04-02,2025-08-22
CUST_0051,Oliver,Shetty,lavanya11@example.com,+914381063489,Chennai,2026-02-28,
CUST_0052,Charita,Toor,bailomya@example.com,+912265885966,Bangalore,2025-12-20,2025-05-30
CUST_0053,Chasmum,Warrior,dhawanleela@example.net,06641201790,Bangalore,2023-10-15,2026-03-21
CUST_0054,Anirudh,Mody,wriddhish01@example.net,+911326051467,Chennai,2024-07-25,2026-02-23
CUST_0055,Hema,Nayar,anmolmohanty@example.com,01689974828,Pune,2024-04-10,2025-12-25
CUST_0056,Sudiksha,Bandi,nairwaida@example.com,+919963577714,Hyderabad,2025-10-08,11/18/2025
CUST_0057,Girik,Chaudhuri,agatesai@example.org,+916939756290,Delhi,2024-06-30,4/4/2026
CUST_0058,Ijaya,Bhavsar,elijahchad@example.com,+911328383194,Ahmedabad,2025-06-24,10/5/2025
CUST_0059,Bahadurjit,Deep,radhakrishnanudarsh@example.com,+915364433465,Mumbai,2026-04-17,
CUST_0060,Noah,Pillai,ukar@example.com,4981349448,Pune,2023-10-31,
CUST_0061,Hredhaan,Hora,hariodika@example.org,01276341264,Ahmedabad,2025-11-06,2025-11-23
CUST_0062,Yatin,Wable,raghavbiswas@example.net,+917822963494,Bangalore,2024-09-22,
CUST_0063,Kamala,Deshpande,amol91@example.net,5661846724,Mumbai,2026-01-25,2025-10-29
CUST_0064,Anmol,Goswami,chasmum55@example.net,7042671818,Chennai,2023-10-28,1/10/2026
CUST_0065,Chaitanya,Sethi,sudiksha11@example.org,8360111972,Kolkata,2024-12-26,
CUST_0066,Hitesh,Gokhale,lgera@example.net,0877736192,Ahmedabad,2026-05-13,2025-07-12
CUST_0067,Viraj,Borra,vidhibhatia@example.org,04347563348,Ahmedabad,2023-09-18,2025-09-01
CUST_0068,Sneha,Thakkar,udyatipau@example.net,+915277011255,Bangalore,2024-11-27,2025-08-05
CUST_0069,Panini,Vohra,kgarg@example.com,02412654444,Delhi,2025-06-24,
CUST_0070,Vihaan,Sidhu,zvasa@example.net,+914117684510,Ahmedabad,2025-11-13,
CUST_0071,Ayushman,Bhasin,bassipranit@example.org,03943684512,Bangalore,2024-11-08,
CUST_0072,Wyatt,De,iyengardominic@example.net,04802906285,Bangalore,2024-02-20,
CUST_0073,Gaurav,Chada,badalayushman@example.net,+915818249206,Ahmedabad,2025-12-26,
CUST_0074,Faras,Din,riyagrover@example.org,09911371172,Ahmedabad,2026-03-05,2026-02-15
CUST_0075,Warinder,Ganesan,kjha@example.com,+912469797712,Hyderabad,2024-04-12,2026-03-21
CUST_0076,Laksh,Srivastava,borajagdish@example.org,5250930358,Bangalore,2024-04-04,10/7/2025
CUST_0077,Dakshesh,Sarkar,pbajwa@example.com,3342083280,Bangalore,2024-02-23,11/13/2025
CUST_0078,Warda,Ganesan,sarrafzaid@example.com,6920335355,Bangalore,2024-10-27,2025-06-13
CUST_0079,Xavier,Chaudhuri,csagar@example.net,+919533035288,Mumbai,2026-02-21,2026-03-25
CUST_0080,Aryan,Rajagopalan,pushtikapur@example.com,+913591584784,Kolkata,2024-02-29,2025-10-20
CUST_0081,Bhanumati,Gera,oommenmanthan@example.org,3105513097,Bangalore,2024-03-10,
CUST_0082,Ekanta,Varkey,isetty@example.org,5931671909,Pune,2024-01-13,11/28/2025
CUST_0083,Chatura,Garg,bbansal@example.com,+916840761681,Pune,2023-08-24,
CUST_0084,Tanvi,Sehgal,reyanshganesh@example.com,09523424200,Kolkata,2026-01-02,
CUST_0085,Waida,Sengupta,bhavini70@example.org,1687181022,Ahmedabad,2025-12-26,6/24/2025
CUST_0086,Anthony,Bobal,ethannaik@example.net,02158891534,Bangalore,2023-10-16,1/3/2026
